Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player
Sonny Weems,SG,sonny-weems,2008,-1.284670711,0.0003511,0.037380132,0.337716135
Tyrone Brazelton,PG,tyrone-brazelton,2008,-1.290246751,0.0,0.035077507,0.321818806
Trent Plaisted,C,trent-plaisted,2008,-1.325366026,0.001000007,0.033831417,0.308200972
James Gist,PF,james-gist,2008,-1.334622166,0.000183631,0.019171784,0.342616683
DeVon Hardin,C,devon-hardin,2008,-1.3444244330000001,8.472819999999999e-05,0.031545715,0.29419824899999997
Will Daniels,SF,will-daniels,2008,-1.38331535,0.0003185,0.013982913000000001,0.32645767600000003
Richard Roby,SG,richard-roby,2008,-1.418729044,0.0,0.012165813999999999,0.315138756
Sean Singletary,PG,sean-singletary,2008,-1.4488087219999999,0.0,0.021486277,0.268218792
Gary Forbes,SF,gary-forbes,2008,-1.522391895,0.0,0.005825426,0.26656472
Mike Conley Jr.,PG,mike-conley-jr,2007,1.0031925720000001,0.16732456099999998,0.40475877200000004,0.126162281
Greg Oden,C,greg-oden,2007,0.8226077279999999,0.126145553,0.38251829,0.16426967
Al Horford,PF,al-horford,2007,0.707756205,0.088973525,0.440303555,0.19413306
Joakim Noah,PF,joakim-noah,2007,0.422872969,0.079411998,0.38755126100000004,0.197950034
Kevin Durant,SF,kevin-durant,2007,0.37508804799999995,0.08179702,0.39641527,0.129143389
Thaddeus Young,SF,thaddeus-young,2007,0.23558509,0.057339574000000004,0.39845339799999996,0.210754986
Rodney Stuckey,SG,rodney-stuckey,2007,0.10214322099999999,0.09202755,0.27080736699999997,0.217030878
Jeff Green,SF,jeff-green,2007,0.077181143,0.043752093,0.324311358,0.256275342
Julian Wright,SF,julian-wright,2007,0.070925932,0.020599201,0.347806889,0.328754671
Corey Brewer,SG,corey-brewer,2007,0.030124876000000002,0.034446562,0.268219041,0.382653147
Brandan Wright,PF,brandan-wright,2007,0.019708441,0.011444142,0.302588556,0.44182561299999995
Spencer Hawes,C,spencer-hawes,2007,0.001760075,0.014423923,0.330386983,0.412181179
Javaris Crittenton,PG,javaris-crittenton,2007,-0.15155286099999998,0.046666667,0.30097435899999997,0.262564103
